xt,yt,xb,yb,state
0.0,0.0,0.0,0.0,F
-0.006184417460641356,0.13318592923925454,-0.12382489706946387,0.30382320014989495,NF
-0.11472608495767345,0.084292485433497877,-0.11031887378430738,0.29884180798377979,NF
-0.21176490536880421,0.051488399141734864,0.020425361193833869,0.42452294762391862,NF
-0.29540195806012759,0.062858091446961417,-0.017561645682570903,0.39982692831418198,NF
-0.34966807272857292,0.021475236566792955,0.036250033500607737,0.38238231317479066,F
-0.38644730397636584,-0.0293235034249959,-0.237284509393201,0.16951576197794183,NF
-0.27495932837044834,0.22629748786998871,-0.33591601765102974,0.13735103019051598,NF
-0.29771102199712574,0.27206438066334238,-0.31672933289772609,0.26770359365172147,F
-0.30198767177758434,0.29056199918763681,-0.25652595216055585,0.32203700810907421,F
-0.26302053820136351,0.30166100755337455,-0.23920565848543041,0.29641412179572357,F
-0.28960858704118775,0.28386768811235641,-0.22649966385299181,0.26619300357036479,F
-0.23745071013833963,0.26524416028248243,-0.2132069744008307,0.27397872769558695,F
-0.2521902944277199,0.22357813147721284,-0.24553328258865903,0.25368935737158438,NF
-0.24607350247839044,0.25837801607518907,-0.27633004425254837,0.2079715946667321,NF
-0.22412892896570502,0.25304428940114598,-0.23773060809901159,0.2336660627738123,NF
-0.24742717608847764,0.25614315517292985,-0.24750969790385147,0.23181735521119484,NF
-0.25165791004057791,0.25347300846643694,-0.21046733409842122,0.24190919771555464,F
-0.25506092476458897,0.27071491802209235,-0.25394795279538429,0.22683844656571694,NF
-0.25113597421510836,0.27163119810382974,-0.23448833547210435,0.2356426610729041,NF
-0.27017333123280185,0.24185844951584301,-0.24953028022940205,0.22724159205865258,F
-0.25553147652141706,0.25082929829582667,-0.25072729563983776,0.23441342556752653,NF
-0.23925438423498468,0.24882301365217663,-0.20297495111745378,0.234385217576634,F
-0.24400367548771884,0.23518107404902389,-0.24190713682733922,0.21645274913056034,NF
-0.24416620563214431,0.23887449280603679,-0.23959961565134391,0.20543601330751671,NF
-0.24199025584786016,0.26237227047747491,-0.23521248879841283,0.21296765514423432,NF
-0.21390310511757471,0.27580972936468684,-0.20191547355672845,0.22823914753088947,NF
-0.25140014697292978,0.23041124892569165,-0.22553293158678234,0.19795397568428963,NF
-0.23107010414005091,0.23591450678456671,-0.25148999126074312,0.23322317149832439,F
-0.21395916468576182,0.25162706517909139,-0.23141088880231309,0.22467225239762523,NF
-0.23393730067061247,0.19478167675359159,-0.22702915937912815,0.25770760370611845,NF
-0.24374788662840341,0.19780178406793458,-0.23554802107164141,0.23273244781341729,NF
-0.22237595407726607,0.23787333024095825,-0.21705872359684208,0.23936209703417755,F
-0.24977624801496168,0.24451521558429767,-0.25798582325362684,0.21569917188351473,NF
-0.25565547134601774,0.23633121811764846,-0.26183179320329275,0.22489042906844492,NF
-0.24707097346647877,0.27455836874808615,-0.25285174936773969,0.24853125607259141,NF
-0.22684259959008679,0.27309887721992887,-0.23463072304929955,0.25559692245856924,NF
-0.2839249495991012,0.21213746932674082,-0.22963870267617592,0.22499696095342281,F
-0.23344539226894123,0.27074363438065552,-0.21419525673105844,0.22752055304779362,NF
-0.24837729703558875,0.27728101167578001,-0.24512062417099034,0.23921649145063661,NF
-0.24273890871800297,0.28166926034674367,-0.21954507600450712,0.23363578088390158,NF
-0.22943607879183603,0.2755337820212399,-0.23673392862262455,0.24260440427613073,NF
-0.25089986652863683,0.25587801319286041,-0.26211532286028216,0.1976557738275394,NF
-0.26780204523413209,0.23505945842290676,-0.22934341122116442,0.24077758307748387,F
-0.24352689578947573,0.2552324890699762,-0.22492455900112229,0.24497389645544776,F
-0.23098192252692218,0.27413444990419589,-0.25583691328732761,0.27470164711652256,F
-0.28985336637963055,0.23812026118669194,-0.26990743998766131,0.24181439444262953,F
-0.25896988945543964,0.30193452775077378,-0.2749799303450513,0.24839557375736621,NF
-0.30435756939488645,0.25539296550036283,-0.24706292592247359,0.3000110927019114,F
-0.27015610816161284,0.27323592424820009,-0.29558955860698333,0.26852855845286017,F
