xt,yt,xb,yb,state
0.0,0.0,0.0,0.0,F
0.0,0.0,0.0,0.0,F
0.0,0.0,0.0,0.0,F
0.32750749092753129,-0.38631839975163751,0.10341839653194085,-0.17931957243981511,F
0.57823834197336788,-0.68118988529971758,0.6858684009975704,-0.65496192742114179,F
0.15730523743663638,-0.82232819181673444,0.71989530054370965,-0.60374352352886529,F
0.25783204619103772,0.21367810119485575,-0.17502997960799505,-0.55884029866083673,NF
0.21702155960406455,0.34208486934949356,-0.34184454859222413,-0.56591895214804944,NF
-0.63425451111855535,-0.35103350972855774,0.60104047862542131,0.39370391888027945,F
-0.57711646125758143,-0.43492089878973239,0.60104047862542131,0.39370391888027945,F
0.43492089878973239,0.57711646125758143,-0.39370391888027945,-0.60104047862542131,NF
0.43492089878973239,0.57711646125758143,0.60104047862542131,0.39370391888027945,NF
0.43492089878973239,0.57711646125758143,-0.39370391888027945,-0.60104047862542131,NF
